Buffer Size,Algorithm Type,Input File,Seconds
-1,-1,-1,0.812
-1,-1,-1,0.833
-1,-1,-1,0.794
-1,-1,-1,0.845
-1,-1,-1,0.835
-1,-1,-1,0.838
-1,-1,-1,0.89
-1,-1,-1,0.862
-1,-1,-1,0.852
-1,-1,-1,0.879
-1,-1,-1,0.881
-1,-1,-1,0.871
-1,-1,-1,0.82
-1,-1,-1,0.881
-1,-1,-1,0.87
-1,-1,-1,0.813
-1,-1,-1,0.847
-1,-1,-1,0.815
-1,-1,-1,0.829
-1,-1,-1,0.746
-1,-1,-1,0.818
-1,-1,-1,0.711
-1,-1,-1,0.79
-1,-1,-1,0.787
-1,-1,-1,0.782
-1,-1,-1,0.743
-1,-1,-1,0.72
-1,-1,-1,0.756
-1,-1,-1,0.683
-1,-1,-1,0.759
-1,-1,-1,0.773
-1,-1,-1,0.755
-1,-1,-1,0.768
-1,-1,-1,0.771
-1,-1,-1,0.728
-1,-1,-1,0.704
-1,-1,-1,0.739
-1,-1,-1,0.723
-1,-1,-1,0.771
-1,-1,-1,0.731
-1,-1,-1,0.753
-1,-1,-1,0.746
-1,-1,-1,0.698
-1,-1,-1,0.736
-1,-1,-1,0.682
-1,-1,-1,0.742
-1,-1,-1,0.793
-1,-1,-1,0.756
-1,-1,-1,0.781
-1,-1,-1,0.747
-1,-1,-1,0.73
-1,-1,-1,0.724
-1,-1,-1,0.793
-1,-1,-1,0.743
-1,-1,-1,0.721
-1,-1,-1,0.756
-1,-1,-1,0.769
-1,-1,-1,0.774
-1,-1,-1,0.731
-1,-1,-1,0.784
-1,-1,-1,0.758
-1,-1,-1,0.752
-1,-1,-1,0.726
-1,-1,-1,0.791
-1,-1,-1,0.768
-1,-1,-1,0.73
-1,-1,-1,0.817
-1,-1,-1,0.78
-1,-1,-1,0.804
-1,-1,-1,0.807
-1,-1,-1,0.788
-1,-1,-1,0.771
-1,-1,-1,0.824
-1,-1,-1,0.8
-1,-1,-1,0.8
-1,-1,-1,0.782
-1,-1,-1,0.798
-1,-1,-1,0.779
-1,-1,-1,0.8
-1,-1,-1,0.746
-1,-1,-1,0.739
-1,-1,-1,0.784
-1,-1,-1,0.741
-1,-1,-1,0.754
-1,-1,-1,0.766
-1,-1,-1,0.789
-1,-1,-1,0.746
-1,-1,-1,0.807
-1,-1,-1,0.787
-1,-1,-1,0.78
-1,-1,-1,0.783
-1,-1,-1,0.816
-1,-1,-1,0.768
-1,-1,-1,0.822
-1,-1,-1,0.786
-1,-1,-1,0.815
-1,-1,-1,0.823
-1,-1,-1,0.797
-1,-1,-1,0.798
-1,-1,-1,0.765
-1,-1,-1,0.744
-1,-1,-1,0.8
-1,-1,-1,0.867
-1,-1,-1,0.819
-1,-1,-1,0.762
-1,-1,-1,0.768
-1,-1,-1,0.781
-1,-1,-1,0.734
-1,-1,-1,0.716
-1,-1,-1,0.785
-1,-1,-1,0.772
-1,-1,-1,0.675
-1,-1,-1,0.749
-1,-1,-1,0.772
-1,-1,-1,0.817
-1,-1,-1,0.789
-1,-1,-1,0.785
-1,-1,-1,0.78
-1,-1,-1,0.79
-1,-1,-1,0.725
-1,-1,-1,0.793
-1,-1,-1,0.803
-1,-1,-1,0.801
-1,-1,-1,0.759
-1,-1,-1,0.794
-1,-1,-1,0.797
-1,-1,-1,0.819
-1,-1,-1,0.797
-1,-1,-1,0.795
-1,-1,-1,0.788
-1,-1,-1,0.809
-1,-1,-1,0.79
-1,-1,-1,0.755
-1,-1,-1,0.831
-1,-1,-1,0.837
-1,-1,-1,0.804
-1,-1,-1,0.765
-1,-1,-1,0.786
-1,-1,-1,0.799
-1,-1,-1,0.798
-1,-1,-1,0.745
-1,-1,-1,0.765
-1,-1,-1,0.7
-1,-1,-1,0.814
-1,-1,-1,0.752
-1,-1,-1,0.743
-1,-1,-1,0.769
-1,-1,-1,0.771
-1,-1,-1,0.748
-1,-1,-1,0.724
-1,-1,-1,0.768
-1,-1,-1,0.772
-1,-1,-1,0.753
-1,-1,-1,0.766
-1,-1,-1,0.737
-1,-1,-1,0.768
-1,-1,-1,0.762
-1,-1,-1,0.761
-1,-1,-1,0.758
-1,-1,-1,0.807
-1,-1,-1,0.774
-1,-1,-1,0.732
-1,-1,-1,0.778
-1,-1,-1,0.793
-1,-1,-1,0.756
-1,-1,-1,0.779
-1,-1,-1,0.812
-1,-1,-1,0.761
-1,-1,-1,0.798
-1,-1,-1,0.821
-1,-1,-1,0.754
-1,-1,-1,0.781
-1,-1,-1,0.77
-1,-1,-1,0.821
-1,-1,-1,0.806
-1,-1,-1,0.809
-1,-1,-1,0.791
-1,-1,-1,0.803
-1,-1,-1,0.821
-1,-1,-1,0.825
-1,-1,-1,0.836
-1,-1,-1,0.86
-1,-1,-1,0.828
-1,-1,-1,0.818
-1,-1,-1,0.881
-1,-1,-1,0.846
-1,-1,-1,0.861
-1,-1,-1,0.867
-1,-1,-1,0.883
-1,-1,-1,0.854
-1,-1,-1,0.801
-1,-1,-1,0.866
-1,-1,-1,0.859
-1,-1,-1,0.841
-1,-1,-1,0.779
-1,-1,-1,0.767
-1,-1,-1,0.721
-1,-1,-1,0.773
-1,-1,-1,0.743
-1,-1,-1,0.771
-1,-1,-1,0.739
-1,-1,-1,0.732
-1,-1,-1,0.745
-1,-1,-1,0.746
-1,-1,-1,0.711
-1,-1,-1,0.771
-1,-1,-1,0.727
-1,-1,-1,0.735
-1,-1,-1,0.742
-1,-1,-1,0.764
-1,-1,-1,0.683
-1,-1,-1,0.774
-1,-1,-1,0.718
-1,-1,-1,0.743
-1,-1,-1,0.753
-1,-1,-1,0.773
-1,-1,-1,0.751
-1,-1,-1,0.74
-1,-1,-1,0.752
-1,-1,-1,0.76
-1,-1,-1,0.753
-1,-1,-1,0.8
-1,-1,-1,0.733
-1,-1,-1,0.692
-1,-1,-1,0.775
-1,-1,-1,0.791
-1,-1,-1,0.729
-1,-1,-1,0.769
-1,-1,-1,0.746
-1,-1,-1,0.765
-1,-1,-1,0.756
-1,-1,-1,0.752
-1,-1,-1,0.793
-1,-1,-1,0.764
-1,-1,-1,0.789
-1,-1,-1,0.72
-1,-1,-1,0.8
-1,-1,-1,0.718
-1,-1,-1,0.753
-1,-1,-1,0.803
-1,-1,-1,0.793
